Unnamed: 0,name,company,year,Price,kms_driven,fuel_type
3718,Bolero DI BSIII,Mahindra,2011,390000,120000,Diesel
3719,Eeco 5 Seater AC BSIV,Maruti,2012,190000,110000,Petrol
3720,KWID RXT,Renault,2017,300000,60000,Petrol
3721,i20 1.4 Asta Dual Tone,Hyundai,2017,750000,27000,Diesel
3722,Swift Dzire VDI,Maruti,2016,650000,50000,Diesel
3723,Amaze i-VTEC Privilege Edition,Honda,2018,635000,40000,Petrol
3724,Verna 1.6 SX,Hyundai,2013,520000,88000,Diesel
3725,Scorpio S11 4WD BSIV,Mahindra,2020,1500000,50000,Diesel
3726,Verna 1.6 SX CRDi (O),Hyundai,2012,415000,80000,Diesel
3727,Elite i20 Diesel Sportz,Hyundai,2019,700000,60000,Diesel
3728,Swift LXI,Maruti,2017,484999,26000,Petrol
3729,Fiesta 1.4 Durasport EXI,Ford,2007,120000,80000,Petrol
3730,EON Era Plus,Hyundai,2014,220000,60000,Petrol
3731,i10 Magna,Hyundai,2014,320000,80000,Petrol
3732,Swift VDI,Maruti,2011,375000,90000,Diesel
3733,Verna 1.6 SX CRDi (O),Hyundai,2012,440000,80000,Diesel
3734,Grand i10 1.2 Kappa Magna AT,Hyundai,2019,550000,15000,Petrol
3735,Swift ZDI BSIV,Maruti,2017,640000,35000,Diesel
3736,Etios GD,Toyota,2014,420000,120000,Diesel
3737,Grand i10 CRDi Sportz,Hyundai,2016,330000,63000,Diesel
3738,Ameo 1.5 TDI Highline Plus,Volkswagen,2019,800000,25000,Diesel
3739,Wagon R LXI BS IV,Maruti,2011,240000,64500,Petrol
3740,KUV 100 mFALCON D75 K2 Plus,Mahindra,2016,360000,100000,Diesel
3741,Verna 1.6 CRDi SX,Hyundai,2017,750000,40000,Diesel
3742,i20 1.2 Magna Executive,Hyundai,2017,570000,15000,Petrol
3743,Etios Liva GD,Toyota,2015,450000,25000,Diesel
3744,Ritz LXi,Maruti,2016,270000,82000,Petrol
3745,Ertiga VDI,Maruti,2012,459999,87000,Diesel
3746,Alto K10 VXI,Maruti,2015,240000,80000,Petrol
3747,Duster 110PS Diesel RxZ,Renault,2012,320000,110000,Diesel
3748,Manza Aura (ABS) Quadrajet BS IV,Tata,2011,149000,148000,Diesel
3749,Scorpio S11 BSIV,Mahindra,2018,1500000,40000,Diesel
3750,Accent Executive,Hyundai,2011,180000,70000,Petrol
3751,Santro Xing GLS LPG,Hyundai,2012,185000,70000,LPG
3752,800 AC,Maruti,2008,65000,40000,Petrol
3753,Indigo LX,Tata,2010,130000,120000,Diesel
3754,Fiesta Classic 1.4 Duratorq CLXI,Ford,2012,330000,60000,Diesel
3755,Manza Aura (ABS) Quadrajet,Tata,2011,190000,90000,Diesel
3756,Swift VDI,Maruti,2014,501000,68000,Diesel
3757,Amaze S i-DTEC,Honda,2017,600000,24500,Diesel
3758,XUV500 W8 4WD,Mahindra,2012,570000,77000,Diesel
3759,Amaze VX O iDTEC,Honda,2015,450000,85000,Diesel
3760,Etios 1.5 V,Toyota,2011,285000,45500,Petrol
3761,Swift VDI,Maruti,2014,490000,67000,Diesel
3762,Swift VDI,Maruti,2014,500000,77000,Diesel
3763,EON Magna Plus,Hyundai,2016,275000,47000,Petrol
3764,Tiago XT,Tata,2017,440000,57000,Petrol
3765,i20 1.4 Asta Option,Hyundai,2018,825000,71500,Diesel
3766,Etios Liva 1.4 GD,Toyota,2012,411000,110000,Diesel
3767,Swift Dzire VDI,Maruti,2013,470000,82000,Diesel
3768,Swift VDI,Maruti,2013,445000,70000,Diesel
3769,Baleno Zeta Diesel,Maruti,2017,752000,28000,Diesel
3770,Rapid 1.5 TDI Style Plus Black Package,Skoda,2016,650000,125000,Diesel
3771,Swift VDI,Maruti,2013,450000,67000,Diesel
3772,City 1.5 V MT,Honda,2011,350000,93500,Petrol
3773,Swift VVT VXI,Maruti,2012,511000,8500,Petrol
3774,Baleno Zeta 1.3,Maruti,2016,700000,80000,Diesel
3775,Innova Crysta 2.8 ZX AT BSIV,Toyota,2016,1800000,30000,Diesel
3776,Figo Aspire 1.2 Ti-VCT Trend,Ford,2018,550000,14200,Petrol
3777,Fiesta 1.4 Duratec EXI Limited Edition,Ford,2007,142000,97000,Petrol
3778,New Safari DICOR 2.2 VX 4x2,Tata,2012,725000,90000,Diesel
3779,i20 1.2 Asta Option,Hyundai,2017,630000,30000,Petrol
3780,i20 Sportz 1.2,Hyundai,2015,480000,50000,Petrol
3781,Alto K10 VXI,Maruti,2016,330000,30000,Petrol
3782,Gypsy King Soft Top MPI BSIV,Maruti,2017,500000,20000,Petrol
3783,Polo Diesel Highline 1.2L,Volkswagen,2012,300000,60300,Diesel
3784,Zest Quadrajet 1.3 XM,Tata,2015,400000,35000,Diesel
3785,Safari DICOR 2.2 EX 4x2,Tata,2011,320000,80000,Diesel
3786,i10 Magna 1.1L,Hyundai,2008,180000,44391,Petrol
3787,Baleno Sigma 1.3,Maruti,2016,530000,58000,Diesel
3788,Bolero 2011-2019 Special Edition,Mahindra,2015,600000,40000,Diesel
3789,Ertiga SHVS ZDI,Maruti,2017,780000,66000,Diesel
3790,City i DTec SV,Honda,2016,700000,110000,Diesel
3791,Beat Diesel,Chevrolet,2013,175000,56315,Diesel
3792,Bolero Power Plus SLE,Mahindra,2017,735000,70000,Diesel
3793,Etios Liva GD,Toyota,2013,325000,120000,Diesel
3794,Tavera LS B3 10 Seats BSII,Chevrolet,2006,225000,100000,Diesel
3795,Zest Quadrajet 1.3 XM,Tata,2015,350000,90000,Diesel
3796,Wagon R LXI DUO BSIII,Maruti,2006,110000,120000,LPG
3797,Zen Estilo LXI BSIII,Maruti,2007,85000,160000,Petrol
3798,Corolla AE,Toyota,2006,150000,100000,Petrol
3799,Swift Dzire VDi,Maruti,2009,225000,120000,Diesel
3800,Indica Vista Terra Quadrajet 1.3L,Tata,2010,111000,100000,Diesel
3801,Wagon R VXI Minor,Maruti,2007,150000,70000,Petrol
3802,EON Era Plus,Hyundai,2017,300000,15151,Petrol
3803,Scorpio 1.99 S6 Plus,Mahindra,2015,630000,60000,Diesel
3804,i10 Era,Hyundai,2011,206000,100000,Petrol
3805,Wagon R LXI,Maruti,2006,70000,110000,Petrol
3806,Grand i10 1.2 Kappa Magna AT,Hyundai,2019,567000,7000,Petrol
3807,Wagon R LXI,Maruti,2005,65000,35000,Petrol
3808,Swift Dzire VDI,Maruti,2016,550000,60000,Diesel
3809,i10 Magna,Hyundai,2010,140000,70000,Petrol
3810,KWID RXT,Renault,2016,300000,30000,Petrol
3811,EcoSport 1.5 Ti VCT MT Titanium BSIV,Ford,2013,500000,70000,Petrol
3812,Grand i10 Sportz,Hyundai,2015,400000,128000,Petrol
3813,Swift VDI BSIV,Maruti,2011,340000,160000,Diesel
3814,Innova 2.5 GX 8 STR,Toyota,2012,850000,120000,Diesel
3815,Swift VDI BSIV,Maruti,2014,570000,15000,Diesel
3816,Swift Dzire VDI,Maruti,2017,699000,60000,Diesel
3817,Brio Exclusive Edition,Honda,2013,355000,80000,Petrol
3818,Swift Dzire VDI Optional,Maruti,2016,690000,80000,Diesel
3819,Fiesta 1.4 Duratorq ZXI,Ford,2006,180000,114321,Diesel
3820,Indica Vista TDI LX,Tata,2013,200000,120000,Diesel
3821,Scorpio VLX 2WD AIRBAG AT BSIV,Mahindra,2012,575000,120000,Diesel
3822,Etios Liva GD,Toyota,2014,415000,146000,Diesel
3823,i10 Magna LPG,Hyundai,2012,350000,30000,LPG
3824,EON D Lite Plus,Hyundai,2017,350000,20000,Petrol
3825,Platinum Etios 1.4 GD,Toyota,2017,632000,150000,Diesel
3826,Eeco CNG 5 Seater AC BSIV,Maruti,2014,325000,70000,CNG
3827,Elantra SX,Hyundai,2013,511000,90000,Petrol
3828,City 1.5 V MT,Honda,2010,300000,100000,Petrol
3829,Wagon R LXI,Maruti,2005,70000,188000,Petrol
3830,i10 Sportz 1.1L,Hyundai,2008,180000,100000,Petrol
3831,XE 2016-2019 2.0L Diesel Prestige,Jaguar,2017,2711000,9000,Diesel
3832,ES 300h,Lexus,2019,5150000,20000,Petrol
3833,XF 2.0 Diesel Portfolio,Jaguar,2017,3200000,45000,Diesel
3834,Safari Storme EX,Tata,2015,503000,110000,Diesel
3835,XC40 D4 Inscription BSIV,Volvo,2019,3800000,20000,Diesel
3836,Camry 2.5 Hybrid,Toyota,2016,2000000,68089,Petrol
3837,Wagon R LXI,Maruti,2013,225000,58343,Petrol
3838,Baleno Alpha 1.3,Maruti,2018,740000,38817,Diesel
3839,Jazz VX,Honda,2016,550000,56494,Petrol
3840,Innova 2.5 VX (Diesel) 7 Seater,Toyota,2013,750000,79328,Diesel
3841,Swift AMT VVT VXI,Maruti,2019,650000,5621,Petrol
3842,Etios VX,Toyota,2017,625000,25538,Petrol
3843,Swift AMT ZXI,Maruti,2018,600000,69779,Petrol
3844,Grand i10 1.2 CRDi Sportz,Hyundai,2017,450000,56290,Diesel
3845,X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
3846,X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
3847,Amaze V CVT Petrol BSIV,Honda,2019,779000,7032,Petrol
3848,Rapid 1.6 MPI AT Elegance,Skoda,2016,645000,11000,Petrol
3849,V40 D3 R-Design,Volvo,2018,2475000,2000,Diesel
3850,i20 1.2 Asta,Hyundai,2017,730000,37333,Petrol
3851,Ertiga VDI,Maruti,2014,450000,15000,Diesel
3852,Sonata 2.4 GDi MT,Hyundai,2012,550000,330000,Petrol
3853,Wagon R LXI CNG,Maruti,2017,420000,60000,CNG
3854,Etios GD,Toyota,2016,509999,80000,Diesel
3855,Innova 2.5 G (Diesel) 7 Seater,Toyota,2015,905000,110000,Diesel
3856,Swift VDI BSIV,Maruti,2010,240000,134000,Diesel
3857,Alto LX,Maruti,2011,140000,72000,Petrol
3858,Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,2006,300000,140000,Diesel
3859,Ritz LXi,Maruti,2015,300000,80000,Petrol
3860,Swift Dzire VDi,Maruti,2010,225000,120000,Diesel
3861,Innova 2.5 G (Diesel) 8 Seater,Toyota,2015,860000,90000,Diesel
3862,Duster 85PS Diesel RxL Optional,Renault,2012,400000,100000,Diesel
3863,Swift Dzire LXi,Maruti,2009,190000,90000,Petrol
3864,Amaze VX i-DTEC,Honda,2013,350000,140000,Diesel
3865,Spark 1.0 LS,Chevrolet,2010,75000,120000,Petrol
3866,Vitara Brezza VDi AMT,Maruti,2019,860000,35000,Diesel
3867,Alto K10 VXI,Maruti,2014,250000,50000,Petrol
3868,Verna 1.4 CRDi,Hyundai,2017,700000,82000,Diesel
3869,Swift VDI BSIV,Maruti,2014,399000,70000,Diesel
3870,Ritz LXi,Maruti,2016,320000,90000,Petrol
3871,Fortuner 4x2 AT,Toyota,2015,2000000,60000,Diesel
3872,Octavia Ambition 2.0 TDI MT,Skoda,2014,1100000,79000,Diesel
3873,Innova 2.5 V Diesel 7-seater,Toyota,2011,750000,291000,Diesel
3874,Innova 2.5 V Diesel 7-seater,Toyota,2010,750000,250000,Diesel
3875,Bolero 2011-2019 Plus Non AC BSIV PS,Mahindra,2018,530000,20000,Diesel
3876,Ciaz ZDi Plus SHVS,Maruti,2017,750000,53000,Diesel
3877,Micra XV CVT,Nissan,2017,560000,21500,Petrol
3878,Tiago 1.05 Revotorq XZ WO Alloy,Tata,2017,450000,89000,Diesel
3879,Swift Dzire VXI,Maruti,2013,459999,35000,Petrol
3880,Zen Estilo LXI BS IV,Maruti,2013,235000,43000,Petrol
3881,Santro Xing GLS,Hyundai,2009,180000,80000,Petrol
3882,Santro Xing XS,Hyundai,2007,140000,80000,Petrol
3883,i20 Asta 1.4 CRDi,Hyundai,2014,620000,110000,Diesel
3884,EON Era,Hyundai,2012,190000,100000,Petrol
3885,EON Sportz,Hyundai,2018,380000,25000,Petrol
3886,EcoSport S Diesel BSIV,Ford,2019,1145000,20000,Diesel
3887,Zest Quadrajet 1.3 75PS XE,Tata,2017,540000,70000,Diesel
3888,Innova 2.5 V Diesel 7-seater,Toyota,2011,800000,197000,Diesel
3889,Wagon R LXI BSIII,Maruti,2006,150000,100000,Petrol
3890,800 Std,Maruti,1995,55000,70000,Petrol
3891,XUV500 W10 2WD,Mahindra,2015,919999,140000,Diesel
3892,Esteem LX,Maruti,2008,75000,86000,Petrol
3893,Alto LXi BSIII,Maruti,2009,135000,50000,Petrol
3894,Tiago 1.2 Revotron XZ,Tata,2017,340000,40300,Petrol
3895,Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,2010,525000,120000,Diesel
3896,Celerio VXI,Maruti,2016,411000,25000,Petrol
3897,Wagon R LXI Minor,Maruti,2010,150000,155000,Petrol
3898,Jazz 1.2 V AT i VTEC,Honda,2015,575000,50000,Petrol
3899,i20 Asta Option 1.2,Hyundai,2017,595000,30030,Petrol
3900,Xcent 1.2 Kappa SX Option,Hyundai,2017,525000,29029,Petrol
3901,Ritz VDi,Maruti,2012,335000,72072,Diesel
3902,Figo Diesel EXI,Ford,2012,300000,54000,Diesel
3903,i20 2015-2017 Sportz Option 1.4 CRDi,Hyundai,2012,415000,82082,Diesel
3904,XUV500 W8 2WD,Mahindra,2016,925000,48000,Diesel
3905,Ertiga BSIV ZXI Plus,Maruti,2016,750000,20000,Petrol
3906,Verna CRDi 1.6 AT SX Option,Hyundai,2018,1150000,49000,Diesel
3907,GO Plus T BSIV,Datsun,2015,260000,35000,Petrol
3908,Alto 800 CNG LXI,Maruti,2017,260000,67000,CNG
3909,Swift Dzire Vdi BSIV,Maruti,2011,347000,80600,Diesel
3910,EON Magna Optional,Hyundai,2013,195000,58609,Petrol
3911,Punto Pure 1.2L FIRE,Fiat,2016,265000,33003,Petrol
3912,Wagon R LXI CNG,Maruti,2016,320000,43000,CNG
3913,i20 Magna 1.2,Hyundai,2016,590000,16500,Petrol
3914,Innova 2.5 GX 8 STR BSIV,Toyota,2012,650000,138000,Diesel
3915,Scorpio 2009-2014 EX 9S BSIII,Mahindra,2013,509999,165500,Diesel
3916,Swift Dzire ZDi,Maruti,2011,350000,120000,Diesel
3917,Nexon 1.5 Revotorq XM,Tata,2018,749000,30000,Diesel
3918,Indigo CS LS (TDI) BS III,Tata,2010,150000,70000,Diesel
3919,Santro LE,Hyundai,2001,33983,80000,Petrol
3920,Zen LX,Maruti,2003,58000,170000,Petrol
3921,Verito 1.5 D2 BSIV,Mahindra,2011,200000,120000,Diesel
3922,Jeep MM 540,Mahindra,1998,210000,47990,Diesel
3923,Indica Vista Quadrajet LS,Tata,2014,240000,168000,Diesel
3924,Amaze E i-DTEC,Honda,2017,515000,60000,Diesel
3925,Alto LXi,Maruti,2008,145000,120000,Petrol
3926,Wagon R VXI Optional,Maruti,2016,450000,5800,Petrol
3927,A-Star Lxi,Maruti,2010,179000,68700,Petrol
3928,Verna Xi (Petrol),Hyundai,2007,220000,108000,Petrol
3929,Zest Revotron 1.2 XT,Tata,2020,500000,40000,Petrol
3930,Fiesta Classic 1.4 SXI Duratorq,Ford,2009,190000,100000,Diesel
3931,Beat Diesel LT,Chevrolet,2015,200000,40000,Diesel
3932,EcoSport 1.5 Petrol Titanium Plus BSIV,Ford,2018,850000,90000,Petrol
3933,Polo Petrol Highline 1.2L,Volkswagen,2011,270000,60000,Petrol
3934,EON Magna Plus,Hyundai,2016,335000,17000,Petrol
3935,Wagon R VXI Optional,Maruti,2018,459999,5000,Petrol
3936,Vitara Brezza LDi Option,Maruti,2017,710000,60000,Diesel
3937,Swift Dzire LDI,Maruti,2015,330000,140000,Diesel
3938,Compass 2.0 Limited,Jeep,2017,1515000,15000,Diesel
3939,Nexon 1.2 Revotron XZ Plus,Tata,2018,750000,25000,Petrol
3940,Spark 1.0 LT,Chevrolet,2016,160000,50000,Petrol
3941,Beat Diesel LT Option,Chevrolet,2016,215000,60000,Diesel
3942,Nano Cx BSIII,Tata,2012,60000,40000,Petrol
3943,Swift Dzire VXI,Maruti,2014,480000,72000,Petrol
3944,Manza Aqua Quadrajet BS IV,Tata,2012,140000,195000,Diesel
3945,EON D Lite,Hyundai,2012,200000,70000,Petrol
3946,Micra Diesel XL Optional,Nissan,2013,400000,83000,Diesel
3947,EON Era Plus,Hyundai,2012,180000,100000,Petrol
3948,Swift VXI Optional,Maruti,2015,550000,25000,Petrol
3949,Swift VDI Optional,Maruti,2016,550000,50000,Diesel
3950,Ertiga VDI,Maruti,2012,550000,67000,Diesel
3951,Zen Estilo VXI BSIV,Maruti,2011,270000,30000,Petrol
3952,Pulse RxL,Renault,2013,315000,85000,Diesel
3953,Thar CRDe,Mahindra,2018,875000,25000,Diesel
3954,Innova 2.5 G (Diesel) 8 Seater BS IV,Toyota,2007,400000,170000,Diesel
3955,Scorpio EX,Mahindra,2014,540000,110000,Diesel
3956,Wagon R LXI CNG,Maruti,2017,350000,60000,CNG
3957,Verna 1.6 SX CRDi (O),Hyundai,2011,360000,80000,Diesel
3958,Wagon R VXI BS IV,Maruti,2014,300000,31000,Petrol
3959,Grand i10 CRDi Sportz,Hyundai,2014,350000,100000,Diesel
3960,NuvoSport N8,Mahindra,2016,650000,130000,Diesel
3961,Wagon R LXI Optional,Maruti,2016,350000,20000,Petrol
3962,EcoSport 1.5 TDCi Trend Plus BSIV,Ford,2017,700000,60000,Diesel
3963,Swift Dzire VDI,Maruti,2013,415000,102996,Diesel
3964,Marazzo M8,Mahindra,2019,1460000,5000,Diesel
3965,Nexon 1.5 Revotorq XZ Plus,Tata,2017,830000,35000,Diesel
3966,GO T Option BSIV,Datsun,2018,430000,5000,Petrol
3967,EcoSport 1.5 TDCi Platinum Edition BSIV,Ford,2017,850000,60000,Diesel
3968,Swift Dzire ZXI,Maruti,2017,650000,70000,Petrol
3969,Verna CRDi,Hyundai,2008,120000,120000,Diesel
3970,TUV 300 T8,Mahindra,2016,730000,65100,Diesel
3971,Ignis 1.2 AMT Delta BSIV,Maruti,2019,525000,20000,Petrol
3972,i20 Active 1.4 SX,Hyundai,2015,600000,108000,Diesel
3973,Swift LXI,Maruti,2019,500000,15000,Petrol
3974,Santro Xing GLS,Hyundai,2009,150000,77000,Petrol
3975,Wagon R VXI BS IV,Maruti,2015,409999,18500,Petrol
3976,TUV 300 T8,Mahindra,2016,625000,120000,Diesel
3977,KWID RXT,Renault,2015,290000,15200,Petrol
3978,Mobilio V i VTEC,Honda,2015,500000,35000,Petrol
3979,Verna 1.6 SX,Hyundai,2011,475000,80000,Diesel
3980,EON Era Plus,Hyundai,2013,190000,70000,Petrol
3981,XUV500 W6 2WD,Mahindra,2014,750000,80000,Diesel
3982,Terrano XV 110 PS,Nissan,2014,525000,120000,Diesel
3983,Cruze LTZ,Chevrolet,2012,495000,82000,Diesel
3984,i20 Sportz 1.4 CRDi,Hyundai,2015,550000,60000,Diesel
3985,XUV500 W8 4WD,Mahindra,2012,595000,129000,Diesel
3986,Grande Punto EVO 1.3 Dynamic,Fiat,2015,550000,67000,Diesel
3987,Fortuner 2.5 4x2 MT TRD Sportivo,Toyota,2015,2000000,120000,Diesel
3988,Safari DICOR 2.2 EX 4x2,Tata,2010,400000,120000,Diesel
3989,Avventura Power Up 1.3 Emotion,Fiat,2015,500000,96500,Diesel
3990,Wagon R LXI BSIII,Maruti,2017,340000,52412,Petrol
3991,Scorpio SLE BS IV,Mahindra,2012,480000,85472,Diesel
3992,EcoSport 1.5 TDCi Titanium Plus BSIV,Ford,2013,480000,87452,Diesel
3993,EcoSport 1.5 Diesel Ambiente BSIV,Ford,2018,750000,17000,Diesel
3994,Wagon R LXI Minor,Maruti,2008,100000,66530,Petrol
3995,i20 Magna,Hyundai,2013,290000,40000,Petrol
3996,Avventura Power Up 1.3 Emotion,Fiat,2015,425000,96500,Diesel
3997,City V MT,Honda,2010,285000,79000,Petrol
3998,TUV 300 mHAWK100 T8,Mahindra,2016,625000,50000,Diesel
3999,Grande Punto Active (Diesel),Fiat,2012,170000,60000,Diesel
4000,Zest Revotron 1.2T XMS,Tata,2018,459999,35000,Petrol
4001,Avventura MULTIJET Emotion,Fiat,2015,450000,120000,Diesel
4002,Swift Dzire AMT VXI,Maruti,2019,650000,10000,Petrol
4003,i20 Active 1.2 S,Hyundai,2017,600000,15000,Petrol
4004,Alto 800 CNG LXI,Maruti,2013,178000,70000,CNG
4005,Alto 800 LXI,Maruti,2016,300000,5000,Petrol
4006,Alto LXi,Maruti,2009,150000,40000,Petrol
4007,Elite i20 Petrol Magna Exective,Hyundai,2019,590000,10000,Petrol
4008,EON Era Plus,Hyundai,2016,310000,25000,Petrol
4009,Zest Revotron 1.2T XMS,Tata,2017,400000,53000,Petrol
4010,Scorpio LX,Mahindra,2014,520000,110000,Diesel
4011,Leyland Stile LE,Ashok,2013,300000,200000,Diesel
4012,XUV300 W8 Option BSIV,Mahindra,2019,1000000,22000,Petrol
4013,Wagon R VXI,Maruti,2003,65000,70000,Petrol
4014,Amaze VX i-DTEC,Honda,2015,509999,75000,Diesel
4015,Wagon R VXI BSIII,Maruti,2012,221000,70000,Petrol
4016,Vento 1.6 Highline,Volkswagen,2014,390000,64000,Petrol
4017,Gypsy King Soft Top MPI BSIV,Maruti,2002,350000,60000,Petrol
4018,Alto LXi,Maruti,2009,195000,40000,Petrol
4019,Q7 3.0 TDI Quattro,Audi,2010,1750000,110000,Diesel
4020,Scorpio VLX 2WD AIRBAG BSIII,Mahindra,2013,600000,60000,Diesel
4021,i20 Sportz Option 1.4 CRDi,Hyundai,2015,615000,72000,Diesel
4022,i20 Magna 1.4 CRDi (Diesel),Hyundai,2013,350000,70000,Diesel
4023,Beat Diesel LS,Chevrolet,2012,140000,75000,Diesel
4024,i20 1.4 Sportz,Hyundai,2017,650000,32331,Diesel
4025,Creta 1.6 CRDi SX Plus,Hyundai,2016,1100000,70000,Diesel
4026,i20 1.4 CRDi Sportz,Hyundai,2010,285000,80000,Diesel
4027,Spark 1.0 LT,Chevrolet,2011,190000,20000,Petrol
4028,Sunny XL,Nissan,2012,350000,110000,Petrol
4029,Grand i10 Asta,Hyundai,2014,400000,40000,Petrol
4030,Innova Crysta 2.7 ZX AT BSIV,Toyota,2016,2100000,40000,Petrol
4031,i20 Sportz 1.2,Hyundai,2015,434999,90000,Petrol
4032,Swift Dzire VXI,Maruti,2014,450000,50000,Petrol
4033,Matiz SD,Daewoo,2001,45000,137000,Petrol
4034,i20 Asta 1.2,Hyundai,2015,450000,60000,Petrol
4035,Swift VDI Optional,Maruti,2017,580000,30000,Diesel
4036,Creta 1.6 CRDi SX,Hyundai,2016,900000,98000,Diesel
4037,Ertiga SHVS ZDI,Maruti,2016,750000,50000,Diesel
4038,Indigo CS LS (TDI) BS III,Tata,2009,140000,120000,Diesel
4039,Grand i10 1.2 Kappa Sportz BSIV,Hyundai,2017,525000,30000,Petrol
4040,Indigo CS LS (TDI) BS III,Tata,2009,114999,120000,Diesel
4041,Tiago 1.2 Revotron XZ,Tata,2016,399000,40000,Petrol
4042,Santro Xing XL eRLX Euro II,Hyundai,2006,150000,100000,Petrol
4043,Indica V2 Turbomax DLS BS IV,Tata,2012,275000,90000,Diesel
4044,i20 1.4 CRDi Magna,Hyundai,2011,340000,80000,Diesel
4045,EON LPG Era Plus,Hyundai,2012,222000,120000,LPG
4046,Ssangyong Rexton RX7,Mahindra,2013,850000,200000,Diesel
4047,Indica V2 DLS,Tata,2007,70000,110000,Diesel
4048,Tiago 1.2 Revotron XT,Tata,2017,430000,38000,Petrol
4049,Tiago 1.2 Revotron XT,Tata,2017,430000,35000,Petrol
4050,Wagon R VXI BS IV,Maruti,2014,320000,70000,Petrol
4051,Santro Xing XG,Hyundai,2005,95000,125000,Petrol
4052,Fluence Diesel E4,Renault,2012,500000,120000,Diesel
4053,Duster 110PS Diesel RxL,Renault,2012,500000,110000,Diesel
4054,Indica Vista Aura Plus 1.3 Quadrajet BS IV,Tata,2010,229999,140000,Diesel
4055,Scorpio VLS AT 2.2 mHAWK,Mahindra,2009,600000,155000,Diesel
4056,Santro Xing XL,Hyundai,2007,200000,120000,Petrol
4057,Pulse RxL Optional,Renault,2017,500000,80000,Diesel
4058,Bolero SLX 2WD,Mahindra,2010,315000,120000,Diesel
4059,Wagon R VXI Minor,Maruti,2011,265000,80000,Petrol
4060,Figo 1.5D Base MT,Ford,2015,350000,110000,Diesel
4061,Indigo CR4,Tata,2012,200000,230000,Diesel
4062,Indica V2 DLE BSIII,Tata,2011,114999,172000,Diesel
4063,i20 Magna 1.2,Hyundai,2014,425000,25000,Petrol
4064,EcoSport 1.5 Diesel Trend BSIV,Ford,2019,900000,35000,Diesel
4065,Scorpio 2009-2014 SLE 7S BSIV,Mahindra,2014,550000,126000,Diesel
4066,WR-V i-DTEC VX,Honda,2018,900000,30000,Diesel
4067,i10 Era,Hyundai,2011,165000,97000,Petrol
4068,Verna 1.6 CRDI AT SX Option,Hyundai,2016,850000,120000,Diesel
4069,Verna 1.6 CRDi S Option,Hyundai,2016,850000,120000,Diesel
4070,Thar CRDe AC,Mahindra,2014,550000,80000,Diesel
4071,Swift Dzire Vdi BSIV,Maruti,2011,500000,60000,Diesel
4072,Swift Dzire VXI 1.2,Maruti,2018,630000,15000,Petrol
4073,i10 Era,Hyundai,2011,160000,60000,Petrol
4074,City i DTEC VX,Honda,2015,670000,60000,Diesel
4075,Swift ZDi,Maruti,2014,430000,90000,Diesel
4076,Xcent 1.2 Kappa Base,Hyundai,2015,375000,30000,Petrol
4077,i20 Asta Option 1.2,Hyundai,2016,650000,35000,Petrol
4078,Swift Dzire LDI,Maruti,2016,500000,35000,Diesel
4079,Swift Dzire LDI,Maruti,2016,500000,35000,Diesel
4080,XUV500 W10 2WD,Mahindra,2017,1350000,25000,Diesel
4081,Ameo 1.5 TDI Comfortline,Volkswagen,2018,600000,40000,Diesel
4082,Creta 1.6 CRDi SX Plus,Hyundai,2017,1200000,25000,Diesel
4083,X6 xDrive30d,BMW,2013,3750000,56000,Diesel
4084,Swift Dzire ZXI Plus,Maruti,2018,795000,41779,Petrol
4085,Jazz 1.2 V i VTEC,Honda,2016,625000,54000,Petrol
4086,E-Class E250 CDI Avantgarde,Mercedes-Benz,2016,2900000,31000,Diesel
4087,Ignis 1.3 AMT Zeta,Maruti,2017,625000,37000,Diesel
4088,Cruze LTZ AT,Chevrolet,2011,440000,90000,Diesel
4089,Corolla Altis 1.8 G,Toyota,2018,1400000,13534,Petrol
4090,Corolla Altis 1.8 VL AT,Toyota,2017,1450000,7000,Petrol
4091,GLA Class 200 CDI SPORT,Mercedes-Benz,2017,2700000,23000,Diesel
4092,Grand i10 Sportz,Hyundai,2017,550000,23456,Petrol
4093,Innova Crysta 2.8 GX AT 8S BSIV,Toyota,2019,1925000,43000,Diesel
4094,XUV500 W10 2WD,Mahindra,2015,1225000,39000,Diesel
4095,WR-V i-VTEC S,Honda,2017,700000,15000,Petrol
4096,Swift Dzire VDI,Maruti,2013,530000,40000,Diesel
4097,Seltos HTX Plus AT D,Kia,2020,1900000,5000,Diesel
4098,Ciaz RS ZDi Plus SHVS,Maruti,2017,844999,70000,Diesel
4099,Rapid 1.5 TDI AT Style Plus,Skoda,2016,650000,99000,Diesel
4100,Swift ZXI 2018,Maruti,2018,750000,15000,Petrol
4101,6 Series GT 630d Luxury Line,BMW,2018,6000000,28156,Diesel
4102,Jazz 1.2 SV i VTEC,Honda,2015,610000,30000,Petrol
4103,Beat LT,Chevrolet,2010,150000,70000,Petrol
4104,Swift Dzire VXI,Maruti,2014,475000,40000,Petrol
4105,Scorpio SLX 4WD,Mahindra,2008,375000,136500,Diesel
4106,KUV 100 mFALCON D75 K6 Plus,Mahindra,2016,425000,70000,Diesel
4107,City i DTEC VX,Honda,2015,800000,90000,Diesel
